Project_ID,Project_Type,Location,Start_Date,End_Date,Planned_Cost,Actual_Cost,Cost_Overrun,Planned_Duration,Actual_Duration,Schedule_Deviation,Vibration_Level,Crack_Width,Load_Bearing_Capacity,Temperature,Humidity,Weather_Condition,Air_Quality_Index,Energy_Consumption,Material_Usage,Labor_Hours,Equipment_Utilization,Accident_Count,Safety_Risk_Score,Image_Analysis_Score,Anomaly_Detected,Completion_Percentage,Risk_Level
PJT_11,Tunnel,New York,1/11/2020,3/28/2021,42011120,41130105.52,-881014.4771,359,412.5223739,53.52237387,1.839050887,2.296730051,72.12237312,4.44484868,44.22750685,Stormy,173,12854.56476,472.8491628,5633,72.1064068,7,2.856053237,75.77969026,0,61.97814324,Low
PJT_12,Building,Chicago,1/12/2020,2/26/2022,27507881,39038564.56,11530683.56,303,349.4545481,46.45454812,0.604802573,4.089817472,63.97559422,17.74315718,32.0826379,Sunny,192,8186.661562,979.4646159,2821,70.69050189,4,5.278576347,57.88718364,0,37.57152774,Medium
PJT_13,Dam,Seattle,1/13/2020,4/29/2022,43428797,43184029.04,-244767.9611,560,767.7814775,207.7814775,1.80204989,4.649608816,299.381565,30.92271982,20.18425089,Sunny,85,23009.8593,623.9092337,2185,55.94070793,2,5.628177711,69.92256521,1,70.01428094,High
PJT_14,Road,New York,1/14/2020,1/16/2022,28445000,30887649.39,2442649.393,472,480.2258197,8.225819676,0.296602621,2.725417064,392.9147245,17.6770564,51.56325572,Snowy,96,30961.49624,880.1862245,2637,96.14798989,3,2.874532228,97.13240542,0,58.59829469,Low
PJT_15,Tunnel,Chicago,1/15/2020,7/21/2021,18962327,20366057.23,1403730.233,374,520.6648448,146.6648448,1.347469135,3.307331027,291.8206357,-6.271198229,44.67029121,Stormy,231,43471.26314,957.9631567,8236,67.47515003,7,6.477133041,67.09894947,0,45.33304608,High
PJT_16,Road,New York,1/16/2020,4/11/2022,39516260,56225648.13,16709388.13,407,524.7240452,117.7240452,1.823272485,4.516368111,428.3532824,29.79693852,58.84368837,Rainy,263,48840.91365,707.8191643,9380,47.65547436,5,7.506999636,57.63936368,0,26.36399452,High
PJT_17,Tunnel,Seattle,1/17/2020,12/28/2020,15226224,19849237.49,4623013.485,610,702.3429372,92.3429372,0.420623933,0.492734257,65.04193989,34.32835708,33.16287648,Stormy,81,24777.16307,594.0448107,2746,65.96229488,4,4.364560774,79.11983021,0,64.11251777,Medium
PJT_18,Dam,Seattle,1/18/2020,10/17/2021,34034792,46900244.19,12865452.19,615,722.5125595,107.5125595,1.939821224,1.160392889,215.0384344,5.922382582,80.17658834,Sunny,235,7720.111534,103.1597658,6797,47.62319501,8,6.269065272,80.11820871,1,84.63075665,High
PJT_19,Bridge,Los Angeles,1/19/2020,4/22/2021,25509968,26792628.05,1282660.05,640,674.5525276,34.55252756,0.960478385,3.544500031,156.681676,26.52691566,38.04286509,Rainy,223,38710.20106,136.0176767,9089,70.15190106,9,5.520717146,59.69021212,0,64.00040217,Medium
PJT_20,Tunnel,Houston,1/20/2020,6/17/2022,20170135,25715398.47,5545263.468,797,1076.961074,279.9610739,1.896858706,4.11872231,251.2728357,13.46255456,35.85007236,Stormy,103,30432.79653,280.7660944,3620,73.67653089,2,2.759935585,59.82932938,1,64.94703002,Medium
PJT_21,Road,New York,1/21/2020,5/16/2021,2500948,3108797.384,607849.3838,200,241.5449691,41.54496908,1.385958083,4.285145142,82.56937694,38.90156457,53.64998395,Sunny,210,25155.11052,267.4075887,8597,60.26534569,6,7.570098899,99.47748957,0,56.06536277,High
PJT_22,Dam,New York,1/22/2020,1/1/2022,7327090,10255714.88,2928624.875,243,265.4805923,22.48059233,0.673015053,2.075535884,479.3592387,36.4874057,54.91957166,Rainy,299,18917.09955,329.2829157,9002,44.29903685,8,8.21307725,62.16405364,0,44.94161056,High
PJT_23,Tunnel,Chicago,1/23/2020,2/20/2022,21885050,31594401.37,9709351.374,344,432.6247439,88.62474389,0.457774797,0.446699511,150.4649305,18.89875991,35.05596601,Rainy,282,27607.93375,374.4411739,7107,96.61021214,3,6.83913804,91.90960174,0,51.17122375,High
PJT_24,Bridge,Seattle,1/24/2020,2/24/2021,32834022,29790113.22,-3043908.779,206,308.4727783,102.4727783,0.677096588,2.188907386,465.038499,28.03280502,39.03025087,Sunny,216,20240.5822,424.0589442,3793,86.40118681,9,3.91506425,73.51619128,1,99.05875814,Medium
PJT_25,Bridge,New York,1/25/2020,11/1/2020,40391628,52687322.3,12295694.3,490,568.9671102,78.96711022,0.276733078,1.153672951,241.6519198,38.58423356,31.87936674,Rainy,72,39065.53405,478.4839211,3500,90.33286483,9,9.34113245,71.74946195,1,77.47016519,High
PJT_26,Building,Seattle,1/26/2020,1/28/2022,16226559,15108573.09,-1117985.908,464,673.920486,209.920486,0.373349136,1.455982275,493.48586,17.26443555,70.29221248,Sunny,220,29475.21634,188.9797046,9361,62.01210366,2,5.098225492,64.74812081,0,48.75035176,Medium
PJT_27,Building,New York,1/27/2020,5/8/2021,37257426,45801120.06,8543694.059,839,928.7814772,89.78147722,0.298854837,3.861337784,299.3262726,7.228790727,73.90623219,Cloudy,232,44458.14984,138.1257388,5925,85.6498618,0,3.392906368,88.69128984,0,51.156676,Medium
PJT_28,Road,Los Angeles,1/28/2020,1/8/2021,28870540,30965953.33,2095413.325,460,429.1062271,-30.89377289,0.903592733,0.37763543,468.8747889,31.45163759,52.36299482,Cloudy,51,29459.47616,706.5500042,2080,69.12237371,8,4.674111587,94.03304392,0,54.9668807,Medium
PJT_29,Tunnel,Houston,1/29/2020,4/8/2022,33434302,36244988.68,2810686.685,343,350.7330255,7.733025491,1.611598915,4.137906087,52.40704491,2.103644013,69.98609159,Rainy,243,15721.8086,583.6013424,5864,52.0650093,0,7.228675827,63.05637308,0,69.33827749,High
PJT_30,Tunnel,New York,1/30/2020,9/1/2020,40112237,44595786.38,4483549.385,403,463.9404857,60.94048566,0.368628753,2.138345429,386.7074628,11.36921314,71.51547744,Rainy,215,43299.1347,499.729782,5453,47.46540261,1,8.613386071,54.75483347,0,51.93624108,High
PJT_31,Building,Seattle,1/31/2020,7/16/2021,39456876,50219743.87,10762867.87,325,335.3288111,10.32881108,0.347608823,2.980319656,456.3727939,37.61499804,29.67928694,Sunny,296,30074.85702,670.9959471,3248,60.70305216,8,4.209179494,56.84597764,0,71.75612066,Medium
PJT_32,Tunnel,Los Angeles,2/1/2020,6/5/2022,17969728,19774427.41,1804699.413,209,188.1284706,-20.87152941,1.322515004,0.448261156,112.8742551,29.84322871,87.63246174,Rainy,292,14307.84672,844.9114665,2325,48.25312669,4,3.093620014,89.64017674,0,39.6269026,Medium
PJT_33,Tunnel,New York,2/2/2020,10/11/2020,48718418,65264139.37,16545721.37,224,324.5762067,100.5762067,0.474647666,1.686795392,93.25663328,12.20960529,77.4722363,Snowy,206,33057.85145,484.9236182,4873,99.89613857,3,6.638438187,71.79134557,0,46.95756688,High
PJT_34,Bridge,Chicago,2/3/2020,5/10/2022,21491595,24558798.74,3067203.742,650,914.1129704,264.1129704,0.285459072,0.448504595,241.0576732,1.810947632,34.31384228,Cloudy,293,21097.25442,677.0075185,2688,42.95133941,8,9.290935901,56.59573292,0,87.76478122,High
PJT_35,Building,Houston,2/4/2020,7/20/2021,32175239,30277283.43,-1897955.566,213,286.5649472,73.56494718,0.417012299,4.807718614,470.1555078,9.578261496,33.0315525,Rainy,159,42998.25255,958.2150015,3985,66.46861596,8,2.649640272,67.01441032,1,39.60150892,Medium
PJT_36,Dam,New York,2/5/2020,10/11/2020,6845447,9380014.177,2534567.177,832,832.5730461,0.573046146,1.855089652,4.036308247,294.0739521,5.625728208,28.79628019,Rainy,173,25398.48824,855.6620463,3076,67.12561134,1,8.227174441,75.71177414,0,96.79930599,High
PJT_37,Building,Los Angeles,2/6/2020,10/2/2021,47847988,51266965.73,3418977.732,606,589.1641963,-16.83580369,1.66079538,2.298163772,287.3554087,-0.315089163,29.68649938,Stormy,116,37689.86111,483.4007295,2461,58.03791571,2,5.289464633,92.60258419,0,25.52544523,Medium
PJT_38,Dam,Chicago,2/7/2020,7/13/2022,36103852,41868197.62,5764345.623,400,376.2251399,-23.77486013,0.772722668,1.118012742,113.5067532,30.88331025,72.37132593,Rainy,280,9299.129344,680.245154,1072,74.28109394,2,8.195612536,82.08716271,0,31.75118341,High
PJT_39,Bridge,Los Angeles,2/8/2020,2/17/2022,12737532,16702296.84,3964764.838,713,951.439687,238.439687,1.346059458,4.667275526,50.35527999,3.863843777,52.87579799,Snowy,120,22821.09558,259.3638297,7030,48.99862145,4,5.549870348,58.80164005,0,51.73117757,High
PJT_40,Road,Los Angeles,2/9/2020,5/10/2022,49491820,54414954.17,4923134.172,871,1269.29504,398.2950403,1.12082378,1.722982979,414.5630408,14.97921086,74.80539209,Cloudy,213,49245.86464,604.4699664,5611,87.03474284,2,4.395949969,57.93513562,0,81.76678534,Medium
PJT_41,Tunnel,Chicago,2/10/2020,1/6/2022,9312934,8697827.689,-615106.3114,546,632.4435349,86.44353493,1.386536101,0.804922158,89.40855334,11.22226958,72.2378426,Stormy,78,41380.71303,983.195462,3796,59.94686309,9,7.270669002,70.61671078,1,75.84179299,High
PJT_42,Bridge,Los Angeles,2/11/2020,10/10/2021,4900379,5509754.008,609375.0079,729,708.2121299,-20.78787007,1.39707519,2.815821942,335.2324184,44.01425582,62.32288995,Sunny,168,12197.33611,566.4836037,8717,75.48055539,5,9.105645651,53.75964239,0,25.70194159,High
PJT_43,Tunnel,Chicago,2/12/2020,1/30/2022,38358841,56259728.71,17900887.71,761,918.8585619,157.8585619,1.294594629,4.718870602,461.5774045,11.51007343,68.04566246,Sunny,214,17499.38223,934.8744693,5516,82.93835416,1,3.882265573,87.77885976,0,31.30165234,Medium
PJT_44,Road,New York,2/13/2020,1/17/2021,12353540,15874800.93,3521260.928,295,327.2432476,32.24324762,0.6055926,0.019151453,143.8933609,-5.600963446,21.28490071,Cloudy,162,19841.7114,466.6014285,3493,93.34252706,5,5.146733215,70.07269102,0,61.77366901,Medium
PJT_45,Road,Chicago,2/14/2020,1/7/2021,7722055,10060968.85,2338913.85,418,470.206091,52.20609103,0.174112199,1.190624216,349.3727763,-5.059583609,41.82443528,Sunny,299,34266.45022,998.9603445,5231,90.14724619,5,3.06460564,67.15118864,0,36.56482708,Medium
PJT_46,Bridge,Chicago,2/15/2020,3/30/2021,16056024,20541584.06,4485560.06,514,654.2183645,140.2183645,0.965576886,4.692238202,85.41435952,22.49145467,64.64755255,Snowy,277,39064.76418,621.2980317,4576,76.49854169,1,2.650685173,75.45541662,1,48.0092792,Medium
PJT_47,Road,Houston,2/16/2020,7/26/2022,49968538,50937691.95,969153.9544,620,825.3631381,205.3631381,1.792850381,0.855429834,321.6898147,22.96499535,20.65414674,Rainy,264,38728.6974,138.0420948,9100,63.30359082,5,8.001011282,85.44784019,0,53.79347579,High
PJT_48,Dam,Chicago,2/17/2020,2/27/2022,10035949,11551380.5,1515431.495,327,316.0004261,-10.9995739,1.182044791,0.566217258,123.7692744,13.03174448,22.30838606,Cloudy,94,27944.33253,628.079317,6728,70.1922802,5,2.80597705,78.46734722,0,63.48214048,Low
PJT_49,Road,Chicago,2/18/2020,10/21/2020,19298198,26063449.15,6765251.149,188,173.214578,-14.78542197,1.681542979,2.850936079,381.1791022,13.75140308,79.63215877,Stormy,65,41486.9242,347.1154261,1032,86.1240876,5,8.139863542,90.12013909,0,32.5946192,High
PJT_50,Tunnel,New York,2/19/2020,9/1/2021,33672748,32353575.62,-1319172.38,467,698.9113508,231.9113508,1.984086252,4.309219116,185.5540827,-7.033707944,67.88174032,Rainy,289,24668.51372,129.2331898,5373,92.65273255,4,4.862953467,81.46812819,0,24.68261292,Medium
PJT_51,Tunnel,Houston,2/20/2020,10/14/2020,7281646,7767416.733,485770.7334,567,589.4741843,22.4741843,0.410870788,2.385549088,258.525954,18.41005807,38.57588132,Sunny,80,10574.62544,838.7679742,4598,46.22691569,6,9.955438511,89.39851337,0,45.8707049,High
PJT_52,Tunnel,Seattle,2/21/2020,5/4/2021,40980720,43676901.61,2696181.609,229,213.4963141,-15.50368588,1.414377514,4.972821283,319.7437439,17.76067115,68.15739881,Sunny,211,30399.88287,348.1566733,3392,63.09137575,4,2.776072764,84.83911368,1,17.38236024,Medium
PJT_53,Tunnel,New York,2/22/2020,7/27/2021,44144878,51173243.91,7028365.911,696,705.6919374,9.69193743,1.38115779,3.395858498,127.0730348,-1.774787479,75.47196684,Stormy,99,47853.56231,816.8936986,7705,86.5669959,0,1.836801933,59.65614201,0,57.4088654,Low
PJT_54,Dam,New York,2/23/2020,12/28/2020,29751505,44276821.8,14525316.8,817,754.3971363,-62.60286372,1.96191535,0.370374536,383.7370184,-4.288833764,41.47559982,Snowy,242,40684.71431,359.3958247,7790,65.89910576,8,1.678897626,52.61772251,0,85.56446433,Low
PJT_55,Building,Seattle,2/24/2020,2/9/2021,22958593,21592591.8,-1366001.203,766,869.4762872,103.4762872,1.972641395,4.964160658,186.1881533,-3.203513017,22.52261642,Stormy,259,31041.52915,274.8937185,3677,59.93366584,2,8.518762043,95.16984003,0,20.70780935,High
PJT_56,Bridge,Chicago,2/25/2020,4/28/2022,39835523,48249605.94,8414082.935,856,1182.513556,326.5135565,1.404689362,2.039471184,348.067337,-4.443446443,85.29453873,Cloudy,171,34106.25472,976.5420167,2401,64.67936181,1,4.9399868,97.28280827,1,20.14574789,High
PJT_57,Tunnel,Los Angeles,2/26/2020,3/20/2021,38962717,39259566.51,296849.507,457,504.8692281,47.86922812,0.562868105,1.437012669,121.2273728,23.53395075,44.16258868,Stormy,239,46875.29122,425.480795,1817,76.17068481,9,1.028119147,86.34661483,0,17.2196019,Low
PJT_58,Road,Houston,2/27/2020,8/13/2021,15945952,23638373.76,7692421.76,479,558.7583111,79.75831114,1.617256092,2.789395918,359.6529466,0.806545882,27.45372343,Sunny,281,24275.42575,641.2385903,7203,99.98830865,5,8.872942263,86.21029113,0,86.30751608,High
PJT_59,Tunnel,Los Angeles,2/28/2020,12/9/2021,14363838,13903938.11,-459899.888,768,1002.510385,234.5103853,0.303355355,1.521537959,107.6846328,3.82865837,54.429981,Snowy,220,19912.73625,648.9833435,5562,69.57954575,7,8.892289062,63.50735402,0,17.26344054,High
PJT_60,Road,Seattle,2/29/2020,12/20/2020,28550115,32608816.52,4058701.519,828,998.018574,170.018574,1.583328678,0.432287536,241.4104233,-0.453532072,73.7927457,Snowy,233,48975.87043,604.426134,5723,52.5096685,1,8.257750066,77.12208544,0,98.51158318,High
PJT_61,Road,New York,3/1/2020,5/18/2021,42566801,57155762.89,14588961.89,797,1129.243327,332.2433271,1.829372636,0.007141715,161.2427332,42.68094174,35.51531202,Stormy,297,43854.94101,923.2261692,3438,49.77079452,3,3.234866347,99.61198319,0,42.24981646,Medium
PJT_62,Tunnel,New York,3/2/2020,6/21/2022,12044590,15931772.53,3887182.531,786,1115.822424,329.8224244,0.82738345,2.247916765,386.7688622,37.00396047,38.86430351,Cloudy,64,19536.96131,706.9969642,7828,42.54098485,1,4.354774481,92.8071799,1,39.58859432,High
PJT_63,Dam,Houston,3/3/2020,11/14/2021,12633575,14574561.86,1940986.863,314,284.467175,-29.53282497,1.29820706,4.184317111,167.915752,2.677216054,36.99004908,Sunny,225,25870.12688,463.3597037,2210,73.5290341,8,7.704336027,65.21971763,0,18.24685769,High
PJT_64,Road,New York,3/4/2020,3/1/2022,6059667,6713592.939,653925.9391,759,1037.422288,278.422288,0.917271191,2.861575928,446.7727879,8.016146166,89.4171137,Rainy,98,23678.51581,876.1423461,7641,72.67432549,9,5.404178129,65.05229328,0,62.70770914,Medium
PJT_65,Road,New York,3/5/2020,11/27/2021,42645168,48554399.21,5909231.209,326,383.5194922,57.51949221,0.931753604,4.996036495,451.3190951,1.544106327,33.81826136,Snowy,258,11709.30554,262.9566092,1599,52.31403561,1,2.384439191,74.17886456,1,62.72939911,Medium
PJT_66,Tunnel,Houston,3/6/2020,12/22/2021,37540128,39738694.05,2198566.048,669,999.0205933,330.0205933,0.689704689,1.434233228,138.3985919,17.05317777,60.28641519,Stormy,221,48101.86957,589.8130818,6480,81.71976439,9,3.185184381,70.22993331,0,54.44252446,Medium
PJT_67,Road,Houston,3/7/2020,6/16/2021,9826233,10054199.28,227966.279,657,781.7900843,124.7900843,1.548046279,1.402275324,326.2306753,-8.921420714,84.76852492,Cloudy,59,23194.0594,955.4953347,2846,84.4664225,1,9.753305831,68.55765231,0,37.99181325,High
PJT_68,Road,Seattle,3/8/2020,7/3/2021,37855538,45041420.78,7185882.776,338,504.3424977,166.3424977,1.878735472,0.798747301,89.47293877,26.92524049,30.28275982,Cloudy,69,44389.80872,662.8578669,7592,55.54589232,4,2.359118057,81.34859544,0,43.17228011,Low
PJT_69,Tunnel,New York,3/9/2020,7/12/2021,48336078,51290391.35,2954313.347,563,761.5935302,198.5935302,1.887426633,0.820317941,226.1916948,18.77369824,87.95979385,Sunny,119,13521.03025,835.2716054,8861,60.64598584,4,7.53472681,50.57462348,1,38.84530543,High
PJT_70,Tunnel,New York,3/10/2020,4/1/2021,19149286,20537168.78,1387882.781,342,358.8137223,16.81372232,0.432084441,1.42593298,370.9947783,39.42514106,86.32340641,Snowy,57,29654.18648,688.204653,2887,99.42830034,6,5.30216476,88.1669818,0,48.35317675,Medium
PJT_71,Bridge,Seattle,3/11/2020,5/17/2022,28596545,37005463.09,8408918.094,620,758.2829323,138.2829323,1.762012934,3.964200226,346.7404611,-0.958402362,81.92003909,Sunny,222,6078.262331,855.4337772,1679,62.45586807,0,7.737414936,87.00264983,0,40.76092949,High
PJT_72,Dam,Chicago,3/12/2020,11/27/2021,24498524,36285312.64,11786788.64,368,550.2635492,182.2635492,1.501119739,4.528783953,331.1153012,34.22600853,35.01895649,Rainy,83,39389.92177,950.0390919,4252,85.64810031,1,6.95001917,91.51628403,0,70.79655879,High
PJT_73,Dam,Chicago,3/13/2020,7/10/2022,30184104,38097842.42,7913738.424,594,840.2239086,246.2239086,0.580391061,4.875435849,177.1433886,33.5578558,64.38385392,Rainy,273,31141.12542,345.6295548,2835,67.1635256,5,4.952504715,92.07253367,0,36.62078251,Medium
PJT_74,Road,Chicago,3/14/2020,6/4/2022,26018569,24618449.45,-1400119.555,518,496.4616306,-21.53836941,0.227840765,1.16144827,220.1112272,-3.005034593,73.26240311,Rainy,228,33151.53126,252.6949731,3177,87.60068967,1,4.185197422,78.31998474,0,41.57544083,Medium
PJT_75,Dam,Seattle,3/15/2020,11/4/2020,11930625,11278618.35,-652006.6482,786,1040.525034,254.5250337,0.609194807,4.406487728,96.32576512,11.92075733,89.02195497,Cloudy,295,7327.439715,535.5916753,9142,86.14139433,3,7.789233289,89.00369678,1,49.19138963,High
PJT_76,Road,New York,3/16/2020,9/23/2020,22227468,32693358.72,10465890.72,360,398.6451905,38.64519055,1.83319565,1.641275446,373.5602692,-0.641604737,32.62966755,Snowy,283,14496.72486,731.6761841,1148,80.06536151,9,3.908270856,74.61975627,0,10.35656508,Medium
PJT_77,Bridge,Seattle,3/17/2020,7/1/2022,44513097,48001787.57,3488690.572,467,422.2564298,-44.74357022,1.303039482,0.564202723,276.7499586,4.009627525,73.62181297,Sunny,53,8344.889256,304.4721279,2495,91.28670078,5,8.089943321,97.57649182,0,54.28743168,High
PJT_78,Tunnel,Seattle,3/18/2020,10/18/2021,10249677,9790903.422,-458773.5782,366,418.0044208,52.0044208,1.470003856,4.350124628,368.9445346,4.478539616,43.71608189,Sunny,157,18001.14421,103.6913054,2744,96.35310969,6,7.118587597,59.53492649,0,33.02378229,High
PJT_79,Tunnel,Chicago,3/19/2020,6/24/2022,48657169,61280140.33,12622971.33,317,329.950291,12.95029101,0.588589467,3.180528173,162.0245862,20.59300167,32.29385259,Rainy,291,33234.75535,408.6416043,2646,74.79899923,9,6.199022532,95.7808546,0,15.05354086,High
PJT_80,Tunnel,Los Angeles,3/20/2020,2/12/2022,31223477,39784619.27,8561142.271,309,429.9183628,120.9183628,1.466837496,0.82365448,195.9972029,12.62760125,49.49638588,Snowy,216,30478.36929,971.9734019,3995,54.24813443,4,4.319207964,62.92651806,0,91.99191689,Medium
PJT_81,Dam,New York,3/21/2020,7/4/2022,28327176,36516644.51,8189468.506,373,411.1945903,38.19459026,0.153430862,2.149156288,200.3969018,42.12530422,75.56851385,Snowy,261,32546.74197,725.4707145,7643,63.9177377,7,2.84573222,55.13616868,0,39.01768605,Medium
PJT_82,Bridge,Chicago,3/22/2020,3/13/2022,14737336,15628078.52,890742.519,495,691.2745371,196.2745371,0.813110557,1.436288474,61.58408439,-3.049642193,52.53948626,Stormy,73,29716.30721,461.1928995,8378,85.49834281,5,7.393778211,71.95522237,0,48.34767373,High
PJT_83,Dam,Los Angeles,3/23/2020,5/13/2021,23432851,21302017.75,-2130833.253,323,290.8158805,-32.18411945,1.290831362,3.683972844,203.4715428,43.55306742,57.62661701,Snowy,265,17286.29581,273.3184876,9849,79.05300911,4,1.822143045,80.74586212,1,84.46088425,Medium
PJT_84,Dam,Los Angeles,3/24/2020,6/25/2021,49032410,72519386.55,23486976.55,195,211.5148406,16.51484055,0.377583475,2.267081153,411.4870581,2.685125212,89.66115871,Snowy,104,16002.83738,420.4807064,4667,50.66790031,3,9.734880305,61.54949366,1,25.01100737,High
PJT_85,Bridge,Houston,3/25/2020,9/3/2021,29373620,30858040.19,1484420.191,481,502.5002808,21.50028085,1.663706791,4.946399726,453.7843231,32.5080665,47.93765097,Sunny,75,11167.68576,252.85549,1576,43.07437247,5,9.808731232,77.78981206,0,86.52779286,High
PJT_86,Bridge,New York,3/26/2020,6/10/2022,17938661,23420998.75,5482337.745,602,626.1645308,24.16453082,0.546559468,0.273724911,283.198242,8.64334594,63.07805283,Snowy,74,43208.18937,195.6752392,5779,80.97769561,5,2.172003544,90.39466785,1,31.74741533,Medium
PJT_87,Bridge,Los Angeles,3/27/2020,1/4/2021,4834242,6400429.677,1566187.677,424,398.9466761,-25.05332393,1.339334114,1.775076331,254.9757628,-2.130523252,45.56709411,Snowy,85,32741.57113,916.0681353,9187,55.06474144,5,1.935417907,62.85424829,0,63.01341025,Low
PJT_88,Bridge,Chicago,3/28/2020,6/15/2022,12671439,16042098.17,3370659.165,286,289.5105248,3.510524802,0.869874571,2.409500836,63.87107841,37.18390519,47.49499524,Sunny,120,13392.99556,997.8853045,3972,69.98021462,0,4.714450544,79.0161123,1,71.71105421,High
PJT_89,Tunnel,Houston,3/29/2020,2/23/2022,30584733,33268373.16,2683640.163,267,329.2990411,62.2990411,1.232482831,2.515667774,445.6419519,6.987349458,68.69485274,Snowy,251,12974.42209,247.7029956,8756,84.80480635,5,9.67314945,66.96562981,0,91.45125513,High
PJT_90,Building,New York,3/30/2020,5/31/2021,7494503,7964091.712,469588.7123,308,331.0435263,23.04352626,0.30415605,1.579679112,55.85459604,26.23704723,85.65208833,Sunny,235,44286.60207,149.070303,4948,73.76000684,0,4.602798093,76.48842338,1,64.68741952,High
PJT_91,Building,Seattle,3/31/2020,9/25/2021,33266497,41869245.38,8602748.38,520,598.2271721,78.22717209,0.13213432,3.646201245,475.1375361,21.15440268,57.96512653,Stormy,288,38422.88887,396.7579964,7544,44.99815499,4,4.274218976,83.34595098,0,50.79086211,Medium
PJT_92,Bridge,Chicago,4/1/2020,8/14/2021,32707048,46432802.08,13725754.08,183,206.0799835,23.07998346,1.828172412,4.373735367,270.1473119,15.94659702,73.78799503,Cloudy,61,34672.9586,515.4932627,3045,51.13481421,6,7.332265531,67.52112859,0,61.50424171,High
PJT_93,Building,Los Angeles,4/2/2020,6/23/2022,1684029,2472222.333,788193.3329,506,721.3247352,215.3247352,0.612297017,4.69359651,203.8705221,17.270071,26.24445912,Sunny,178,23308.88484,284.3391224,2627,53.15969104,0,2.608581129,99.72414412,0,28.18742165,Medium
PJT_94,Building,Los Angeles,4/3/2020,7/12/2021,6337355,6106317.107,-231037.8926,589,850.0326663,261.0326663,1.657386305,4.025466884,465.8982957,30.27308528,34.78106262,Sunny,165,16788.90039,371.2824206,2488,55.47185522,0,4.269911352,78.18875992,0,72.01669007,Medium
PJT_95,Bridge,Chicago,4/4/2020,2/26/2021,49761066,49407621.49,-353444.5139,485,579.9504788,94.95047875,1.998765571,4.252900987,60.9759469,-5.172489723,55.14921486,Snowy,227,49075.28434,280.7836621,4563,73.92420352,5,3.621767016,91.22307795,0,26.81926408,Medium
